                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76795,                 1.0119,                 1.4048,                0.73518,                0.75508,                0.74785,                0.56297,                0.91411,                 1.4501,                 1.7108,              0.0011885,              0.0011885,              0.0011885
                     36,                0.75985,                0.98903,                 1.4126,                0.61273,                0.83783,                0.81964,                0.60534,                0.85467,                  1.486,                  1.651,              0.0011814,              0.0011814,              0.0011814
                     37,                0.71537,                0.94743,                 1.3546,                0.69663,                0.84478,                0.85992,                0.58647,                0.99201,                 1.2737,                 1.8706,              0.0011744,              0.0011744,              0.0011744
                     38,                0.70719,                0.96345,                 1.3898,                0.77299,                0.90033,                0.85083,                0.62539,                 0.8932,                 1.0546,                 1.7576,              0.0011673,              0.0011673,              0.0011673
                     39,                0.72876,                0.90387,                 1.3914,                0.84163,                0.87778,                0.87567,                 0.5874,                0.99223,                0.99816,                   1.84,              0.0011602,              0.0011602,              0.0011602
                     40,                0.70836,                0.93459,                 1.3898,                0.76912,                0.81478,                0.84932,                 0.6763,                0.82772,                 1.0047,                 1.6538,              0.0011531,              0.0011531,              0.0011531
                     41,                0.73235,                0.93767,                 1.3848,                0.62218,                0.71052,                0.74018,                0.49707,                 1.0167,                 1.3838,                 1.7719,              0.0011461,              0.0011461,              0.0011461
                     42,                0.71809,                0.91276,                 1.4061,                0.71902,                0.88889,                0.79882,                0.61557,                0.78445,                  1.143,                 1.5636,               0.001139,               0.001139,               0.001139
                     43,                0.72849,                0.90665,                 1.3902,                 0.7685,                0.91004,                0.86168,                0.61601,                0.88413,                 1.0196,                 1.7623,              0.0011319,              0.0011319,              0.0011319
                     44,                0.70644,                0.93125,                 1.3889,                0.70897,                0.84595,                0.82552,                 0.6022,                0.84516,                 1.1474,                 1.7722,              0.0011248,              0.0011248,              0.0011248
                     45,                0.70471,                0.85726,                 1.3649,                0.71115,                0.82626,                0.84088,                0.61175,                0.82688,                 1.0437,                 1.6986,              0.0011178,              0.0011178,              0.0011178
                     46,                0.66879,                0.86939,                 1.3421,                0.72587,                0.76509,                0.75966,                0.57619,                0.87034,                 1.1172,                 1.7192,              0.0011107,              0.0011107,              0.0011107
                     47,                0.71051,                0.87577,                 1.3773,                0.71707,                   0.85,                0.82362,                0.62352,                0.79154,                 1.0509,                   1.65,              0.0011036,              0.0011036,              0.0011036
                     48,                0.67259,                0.81256,                 1.3519,                0.75089,                0.93803,                0.87817,                0.66041,                0.78306,                0.92003,                 1.6579,              0.0010965,              0.0010965,              0.0010965
                     49,                0.66552,                0.81742,                 1.3518,                0.82314,                0.92712,                0.89858,                0.65377,                0.81534,                0.96567,                 1.7064,              0.0010895,              0.0010895,              0.0010895
                     50,                0.67473,                0.78933,                 1.3251,                0.82138,                0.86057,                0.85611,                0.65188,                 0.8118,                0.94555,                 1.6724,              0.0010824,              0.0010824,              0.0010824
