                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52067,                 1.0496,                 1.2264,                0.88079,                0.90111,                0.92414,                0.73111,                0.69935,                 1.8372,                 1.5029,              0.0001092,              0.0001092,              0.0001092
                      2,                0.55832,                0.98942,                 1.2728,                0.85438,                0.87255,                0.89021,                0.73538,                 0.6547,                 1.6215,                 1.3934,             0.00021854,             0.00021854,             0.00021854
                      3,                0.51237,                0.95059,                 1.2075,                0.84881,                0.81349,                0.86087,                0.68439,                0.75142,                 1.7922,                 1.5618,             0.00032337,             0.00032337,             0.00032337
                      4,                0.54711,                 1.0409,                 1.2417,                0.82731,                0.85873,                0.86015,                0.70665,                0.69754,                 1.8179,                 1.5381,             0.00042369,             0.00042369,             0.00042369
                      5,                0.52249,                 1.0049,                 1.2272,                0.85056,                0.87457,                0.87759,                0.70081,                0.69199,                 1.7734,                  1.549,             0.00041896,             0.00041896,             0.00041896
                      6,                0.55082,                 1.0463,                 1.2636,                0.89848,                0.91663,                0.95602,                0.73569,                0.75439,                 1.6144,                 1.5889,             0.00040995,             0.00040995,             0.00040995
                      7,                0.58957,                 1.0218,                  1.277,                0.91868,                0.86219,                0.93964,                0.71233,                0.81059,                 1.6168,                 1.6384,             0.00040095,             0.00040095,             0.00040095
                      8,                0.59448,                 1.0457,                 1.2947,                0.87738,                0.78333,                0.85298,                0.64497,                0.81746,                  1.654,                 1.6284,             0.00039194,             0.00039194,             0.00039194
                      9,                0.55113,                0.94093,                 1.2215,                0.90513,                0.93404,                0.94516,                0.73408,                   0.74,                 1.5211,                 1.5469,             0.00038293,             0.00038293,             0.00038293
                     10,                0.52469,                0.94319,                 1.2365,                0.81758,                0.93567,                0.90599,                0.71862,                0.78982,                 1.4404,                 1.6275,             0.00037392,             0.00037392,             0.00037392
                     11,                0.55734,                0.97118,                 1.2549,                0.86189,                0.83036,                0.91456,                0.64547,                0.84433,                 1.6872,                  1.688,             0.00036491,             0.00036491,             0.00036491
                     12,                0.55187,                0.94039,                 1.2416,                0.79774,                0.85363,                0.90143,                0.69527,                 0.8402,                 1.6178,                 1.7091,              0.0003559,              0.0003559,              0.0003559
