                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.67789,                 1.4785,                 1.3929,                0.91763,                      1,                0.98885,                0.61532,                 1.2038,                 2.5435,                 2.1235,             0.00015556,             0.00015556,             0.00015556
                     36,                0.65772,                 1.3402,                 1.3167,                0.84604,                 0.9159,                0.90418,                0.61633,                 1.2414,                 2.6015,                 2.1044,             0.00014613,             0.00014613,             0.00014613
                     37,                0.66694,                 1.3533,                 1.3383,                 0.8454,                0.91176,                0.90421,                0.61033,                 1.2466,                 2.5535,                 2.0816,             0.00013671,             0.00013671,             0.00013671
                     38,                0.65828,                 1.3197,                 1.3439,                0.92193,                0.98503,                0.98269,                0.61599,                 1.2506,                 2.5465,                 2.0807,             0.00012728,             0.00012728,             0.00012728
                     39,                0.61989,                  1.281,                 1.2759,                0.92295,                0.99835,                0.98885,                0.62032,                 1.2523,                 2.5318,                 2.0744,             0.00011786,             0.00011786,             0.00011786
                     40,                0.70787,                 1.4213,                 1.3998,                      1,                0.97768,                  0.995,                0.60919,                  1.225,                 2.4927,                 2.0228,             0.00010843,             0.00010843,             0.00010843
                     41,                0.76549,                 2.4485,                 1.4765,                0.99019,                      1,                  0.995,                0.63545,                 1.2031,                  2.472,                 2.0014,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     42,                0.70581,                  2.274,                 1.4433,                0.98566,                      1,                  0.995,                0.64822,                 1.1633,                  2.436,                 1.9349,             8.9583e-05,             8.9583e-05,             8.9583e-05
                     43,                 0.7918,                 2.4568,                  1.563,                0.99256,                      1,                  0.995,                0.62689,                  1.137,                 2.4477,                   1.85,             8.0158e-05,             8.0158e-05,             8.0158e-05
                     44,                0.72368,                 2.3723,                 1.4789,                0.89102,                0.91667,                0.96083,                0.58789,                 1.1568,                 2.5158,                 1.8567,             7.0734e-05,             7.0734e-05,             7.0734e-05
                     45,                 0.6079,                 2.1326,                 1.3769,                0.91635,                0.91314,                0.96083,                0.57222,                 1.1549,                 2.5495,                 1.8577,             6.1309e-05,             6.1309e-05,             6.1309e-05
                     46,                 0.6248,                 2.2816,                 1.4247,                0.91655,                0.91542,                0.96083,                0.57494,                 1.1735,                 2.5846,                 1.8617,             5.1884e-05,             5.1884e-05,             5.1884e-05
                     47,                0.69926,                 2.2689,                 1.4907,                0.91615,                0.91099,                0.96083,                0.55412,                 1.1955,                 2.5506,                 1.8933,             4.2459e-05,             4.2459e-05,             4.2459e-05
                     48,                0.58852,                  2.161,                 1.3659,                0.91498,                0.89816,                0.96083,                0.55316,                 1.1831,                 2.5187,                 1.8778,             3.3034e-05,             3.3034e-05,             3.3034e-05
                     49,                0.62292,                 2.1677,                 1.4492,                0.91581,                0.90721,                0.93576,                 0.5556,                 1.1519,                 2.5198,                 1.8676,              2.361e-05,              2.361e-05,              2.361e-05
                     50,                0.58773,                 2.1491,                  1.364,                0.91241,                0.91667,                0.94262,                0.55444,                 1.1526,                 2.5139,                 1.8794,             1.4185e-05,             1.4185e-05,             1.4185e-05
