                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1531,                 4.3014,                  1.767,                      0,                      0,                      0,                      0,                0.64105,                 4.9213,                 1.5034,               7.14e-05,               7.14e-05,               7.14e-05
                      2,                0.93991,                 3.7541,                 1.6102,                0.34752,                 0.4881,                0.45208,                0.34686,                0.71639,                 4.8873,                 1.5668,             0.00014464,             0.00014464,             0.00014464
                      3,                0.96915,                  3.168,                 1.6393,                 0.1054,                0.95833,                 0.5145,                0.39292,                 0.8706,                 4.5451,                 1.7033,             0.00021486,             0.00021486,             0.00021486
                      4,                 0.7853,                 2.6357,                  1.463,                0.93963,                0.25595,                0.57518,                0.41778,                 1.0657,                 4.4023,                 1.8471,             0.00028207,             0.00028207,             0.00028207
                      5,                0.85527,                 2.1827,                 1.5378,                0.76816,                0.60454,                0.71452,                0.55906,                 1.0105,                 3.7454,                 1.8027,             0.00034626,             0.00034626,             0.00034626
                      6,                0.82155,                 2.0008,                 1.4872,                0.93855,                0.67644,                0.87001,                0.64394,                0.89094,                 2.7447,                  1.713,             0.00040743,             0.00040743,             0.00040743
                      7,                0.80921,                 1.8178,                 1.4943,                 0.7854,                0.89286,                0.85943,                0.64542,                0.78694,                 2.6466,                 1.6833,             0.00041945,             0.00041945,             0.00041945
                      8,                0.92302,                 1.8689,                 1.6051,                 0.6792,                0.93452,                0.88641,                0.65176,                0.84934,                 3.1922,                 1.7111,             0.00041003,             0.00041003,             0.00041003
                      9,                0.76636,                 1.6916,                 1.4092,                0.74373,                0.90476,                0.90864,                0.64899,                 0.8991,                 3.4971,                 1.7723,              0.0004006,              0.0004006,              0.0004006
                     10,                0.82206,                 1.7661,                 1.5026,                0.78009,                0.92231,                0.89295,                0.67052,                0.82862,                 2.5653,                 1.7523,             0.00039118,             0.00039118,             0.00039118
