                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.075,                 4.1599,                 1.7281,                      0,                      0,                      0,                      0,                0.77186,                 5.0536,                 1.7002,              0.0001092,              0.0001092,              0.0001092
                      2,                0.90322,                 3.3847,                 1.6085,                0.06597,                      1,                0.33546,                0.22675,                0.97576,                 4.8882,                 1.8945,             0.00021854,             0.00021854,             0.00021854
                      3,                0.80899,                 2.7107,                 1.5122,                0.85628,                0.19189,                0.49054,                0.37878,                0.88443,                 4.3943,                 1.8861,             0.00032337,             0.00032337,             0.00032337
                      4,                0.89379,                 2.4858,                 1.5777,                0.66705,                0.61984,                0.68937,                0.42537,                 1.1044,                 3.4059,                 2.0076,             0.00042369,             0.00042369,             0.00042369
                      5,                0.86155,                 2.1507,                 1.5373,                0.84233,                0.65508,                0.78682,                0.53887,                 1.0273,                   3.11,                  1.936,             0.00041896,             0.00041896,             0.00041896
                      6,                0.88462,                 2.0446,                 1.5494,                 0.8296,                0.79515,                0.87395,                 0.5851,                 1.0144,                 2.9081,                 1.9488,             0.00040995,             0.00040995,             0.00040995
                      7,                0.87633,                 1.9265,                 1.5373,                0.74934,                0.90039,                0.89442,                0.64932,                0.88073,                   2.79,                 1.8099,             0.00040095,             0.00040095,             0.00040095
                      8,                0.84582,                 1.8653,                 1.5332,                0.87988,                0.73877,                0.85632,                0.61924,                0.87303,                 2.5927,                 1.7606,             0.00039194,             0.00039194,             0.00039194
                      9,                0.77011,                 1.6372,                 1.4246,                0.76989,                0.80986,                0.86141,                0.64426,                0.84499,                 2.6715,                 1.7185,             0.00038293,             0.00038293,             0.00038293
                     10,                0.76318,                 1.7307,                 1.4631,                0.82645,                0.85966,                0.90611,                 0.6734,                0.85378,                 2.5306,                  1.752,             0.00037392,             0.00037392,             0.00037392
                     11,                0.75237,                 1.6473,                  1.445,                0.87614,                0.85635,                0.90864,                0.68438,                 0.8133,                 2.3284,                 1.6843,             0.00036491,             0.00036491,             0.00036491
                     12,                0.75056,                 1.5702,                 1.4275,                0.84507,                0.85976,                0.88535,                0.68639,                0.82591,                  2.389,                 1.7255,              0.0003559,              0.0003559,              0.0003559
                     13,                 0.7037,                 1.4967,                 1.3926,                 0.8312,                0.90077,                0.89913,                0.68062,                0.82647,                 2.4398,                 1.7072,             0.00034689,             0.00034689,             0.00034689
